city_ID,city,lat,lng,country,population
114,Mons,50.455,3.952,Belgium,95299.0
115,Mechelen,51.0281,4.4803,Belgium,86921.0
116,Aalst,50.9383,4.0392,Belgium,85715.0
117,La Louvière,50.4778,4.1881,Belgium,80986.0
118,Hasselt,50.9305,5.3385,Belgium,77651.0
119,Sint-Niklaas,51.1644,4.1392,Belgium,76756.0
120,Kortrijk,50.8333,3.2667,Belgium,76265.0
121,Ostend,51.2333,2.9333,Belgium,71332.0
122,Tournai,50.6,3.3833,Belgium,69554.0
123,Genk,50.95,5.5,Belgium,66110.0
124,Seraing,50.5986,5.5122,Belgium,64270.0
125,Roeselare,50.9447,3.1233,Belgium,62301.0
126,Mouscron,50.7444,3.2156,Belgium,58234.0
127,Forest,50.8117,4.3181,Belgium,56008.0
128,Verviers,50.5833,5.85,Belgium,55198.0
129,Beveren,51.2,4.25,Belgium,48192.0
130,Etterbeek,50.8361,4.3861,Belgium,47786.0
131,Beringen,51.0333,5.2167,Belgium,46065.0
132,Dendermonde,51.0167,4.1,Belgium,45673.0
133,Turnhout,51.3167,4.9333,Belgium,44136.0
134,Vilvoorde,50.9281,4.4245,Belgium,44015.0
135,Jette,50.8758,4.3244,Belgium,43564.0
136,Heist-op-den-Berg,51.0758,4.7286,Belgium,42478.0
137,Dilbeek,50.8333,4.25,Belgium,42434.0
138,Lokeren,51.1,3.9833,Belgium,41438.0
139,Evere,50.8719,4.4033,Belgium,41131.0
140,Geel,51.1611,4.9903,Belgium,40709.0
141,Sint-Truiden,50.8167,5.1833,Belgium,40672.0
142,Herstal,50.6644,5.63,Belgium,39958.0
143,Braine-l’Alleud,50.6806,4.3717,Belgium,39837.0
144,Halle,50.7361,4.2372,Belgium,39096.0
145,Ninove,50.8333,4.0167,Belgium,38692.0
146,Waregem,50.8811,3.4001,Belgium,38347.0
147,Wilrijk,51.1667,4.3833,Belgium,38319.0
148,Mechelen-aan-de-Maas,50.9967,5.7025,Belgium,38193.0
149,Brasschaat,51.2931,4.4894,Belgium,37850.0
150,Grimbergen,50.9333,4.3833,Belgium,37355.0
151,Lierre,51.1311,4.5697,Belgium,36646.0
152,Mol,51.1842,5.1156,Belgium,36544.0
153,Châtelet,50.4,4.5167,Belgium,36101.0
154,São Paulo,-23.5504,-46.6339,Brazil,22495000.0
155,Rio de Janeiro,-22.9083,-43.1964,Brazil,12486000.0
156,Belo Horizonte,-19.9281,-43.9419,Brazil,5159000.0
157,Brasília,-15.7939,-47.8828,Brazil,3015268.0
158,Salvador,-12.9708,-38.5108,Brazil,2886698.0
159,Fortaleza,-3.7275,-38.5275,Brazil,2452185.0
160,Curitiba,-25.4297,-49.2719,Brazil,1879355.0
161,Manaus,-3.1,-60.0167,Brazil,1802014.0
162,Recife,-8.0539,-34.8808,Brazil,1653461.0
163,Belém,-1.4558,-48.5039,Brazil,1499641.0
164,Porto Alegre,-30.0328,-51.23,Brazil,1484941.0
165,Goiânia,-16.6806,-49.2564,Brazil,1393575.0
166,Guarulhos,-23.4667,-46.5333,Brazil,1324781.0
167,Vila Velha,3.2167,-51.2167,Brazil,1209091.0
168,Campinas,-22.9009,-47.0573,Brazil,1164098.0
169,São Gonçalo,-22.8269,-43.0539,Brazil,1077687.0
170,São Luís,-2.53,-44.3028,Brazil,1073893.0
171,Maceió,-9.6658,-35.735,Brazil,1025360.0
172,Natal,-6.9838,-60.2699,Brazil,980588.0
173,Campo Grande,-20.4686,-54.6222,Brazil,906092.0
174,Natal,-5.795,-35.2089,Brazil,877662.0
175,Teresina,-5.0949,-42.8042,Brazil,847430.0
176,Iguaçu,-22.74,-43.47,Brazil,844583.0
